iter	Passed	Remaining
0	2	2880
1	8	4019
2	11	3831
3	21	5313
4	26	5238
5	35	5906
6	38	5509
7	40	5012
8	43	4788
9	45	4509
10	48	4385
11	51	4229
12	54	4117
13	58	4136
14	62	4088
15	63	3921
16	66	3865
17	69	3810
18	72	3749
19	74	3638
20	76	3557
21	79	3516
22	82	3487
23	83	3395
24	86	3365
25	89	3346
26	91	3307
27	93	3229
28	95	3213
29	98	3193
30	100	3147
31	103	3142
32	106	3122
33	109	3106
34	111	3081
35	113	3031
36	114	2978
37	116	2942
38	117	2893
39	119	2861
40	120	2818
41	121	2770
42	124	2763
43	125	2721
44	128	2722
45	130	2697
46	132	2682
47	133	2654
48	136	2648
49	139	2648
50	142	2646
51	147	2687
52	149	2676
53	151	2647
54	152	2624
55	160	2701
56	161	2675
57	163	2648
58	164	2621
59	172	2704
60	174	2692
61	182	2759
62	191	2846
63	195	2860
64	197	2847
65	206	2925
66	210	2933
67	221	3041
68	224	3022
69	229	3049
70	232	3040
71	234	3017
72	241	3068
73	243	3049
74	245	3025
75	250	3049
76	254	3046
77	261	3089
78	267	3121
79	268	3091
80	276	3135
81	279	3128
82	286	3167
83	293	3196
84	294	3166
85	295	3140
86	301	3165
87	305	3161
88	307	3152
89	315	3190
90	317	3173
91	318	3146
92	326	3180
93	332	3202
94	336	3202
95	342	3228
96	349	3252
97	356	3282
98	363	3305
99	367	3303
100	373	3327
101	380	3351
102	382	3326
103	389	3352
104	390	3331
105	397	3353
106	399	3330
107	403	3334
108	404	3308
109	411	3329
110	415	3328
111	418	3316
112	425	3340
113	429	3339
114	432	3330
115	439	3348
116	444	3356
117	447	3347
118	455	3368
119	457	3353
120	469	3409
121	473	3409
122	475	3392
123	479	3389
124	483	3381
125	484	3362
126	486	3345
127	487	3323
128	490	3310
129	492	3295
130	495	3289
131	498	3280
132	502	3278
133	506	3270
134	507	3254
135	509	3233
136	511	3225
137	515	3222
138	518	3210
139	522	3209
140	526	3206
141	529	3202
142	533	3196
143	537	3195
144	540	3186
145	543	3178
146	544	3160
147	548	3159
148	551	3152
149	553	3134
150	554	3115
151	557	3110
152	561	3106
153	565	3106
154	569	3102
155	570	3088
156	573	3080
157	576	3073
158	579	3064
159	581	3051
160	584	3046
161	587	3040
162	592	3043
163	594	3031
164	597	3024
165	600	3018
166	602	3003
167	603	2988
168	606	2980
169	607	2966
170	611	2964
171	614	2957
172	616	2944
173	617	2932
174	620	2924
175	623	2918
176	625	2907
177	627	2900
178	630	2892
179	633	2886
180	635	2876
181	638	2868
182	640	2857
183	642	2847
184	652	2874
185	657	2879
186	662	2881
187	664	2870
188	668	2868
189	671	2863
190	674	2856
191	675	2843
192	686	2868
193	687	2855
194	690	2849
195	701	2877
196	703	2868
197	709	2874
198	716	2884
199	723	2894
200	727	2890
201	732	2892
202	736	2891
203	739	2885
204	742	2880
205	750	2890
206	752	2883
207	756	2879
208	761	2882
209	775	2917
210	779	2914
211	791	2942
212	803	2968
213	813	2988
214	824	3009
215	831	3017
216	837	3023
217	849	3046
218	860	3069
219	862	3058
220	865	3051
221	875	3069
222	877	3057
223	880	3051
224	891	3072
225	898	3077
226	904	3079
227	911	3084
228	913	3075
229	923	3093
230	929	3093
231	933	3090
232	936	3082
233	946	3097
234	947	3085
235	954	3089
236	959	3088
237	962	3081
238	969	3085
239	975	3088
240	979	3083
241	983	3079
242	988	3080
243	992	3076
244	996	3071
245	997	3058
246	1004	3060
247	1008	3056
248	1011	3051
249	1015	3045
250	1020	3043
251	1027	3050
252	1029	3038
253	1032	3031
254	1038	3034
255	1040	3025
256	1046	3025
257	1048	3014
258	1055	3019
259	1060	3018
260	1068	3025
261	1073	3022
262	1077	3018
263	1078	3007
264	1086	3013
265	1094	3019
266	1097	3014
267	1103	3015
268	1109	3014
269	1113	3009
270	1115	3000
271	1118	2992
272	1122	2987
273	1126	2983
274	1133	2987
275	1138	2985
276	1141	2979
277	1146	2977
278	1148	2967
279	1150	2957
280	1157	2961
281	1163	2961
282	1164	2950
283	1179	2973
284	1185	2974
285	1190	2973
286	1193	2965
287	1206	2982
288	1207	2971
289	1214	2973
290	1215	2961
291	1220	2959
292	1222	2951
293	1229	2952
294	1232	2944
295	1238	2946
296	1239	2934
297	1244	2931
298	1245	2919
299	1247	2910
